car_ID,CarName,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carheight,enginetype,cylindernumber,fuelsystem,horsepower,peakrpm,citympg
18,dodge monaco,gas,std,four,hatchback,fwd,front,93.7,50.6,ohc,four,2bbl,68,5500,31
19,dodge colt hardtop,gas,std,four,sedan,fwd,front,93.7,50.6,ohc,four,2bbl,68,5500,31
20,dodge colt,gas,std,four,sedan,fwd,front,93.7,50.6,ohc,four,2bbl,68,5500,31
21,dodge coronet custom,gas,turbo,two,sedan,fwd,front,93.7,50.6,ohc,four,mpfi,102,5500,24
22,dodge dart custom,gas,std,four,wagon,fwd,front,103.3,59.8,ohc,four,2bbl,88,5000,24
23,dodge coronet custom,gas,turbo,two,hatchback,fwd,front,95.9,50.2,ohc,four,mfi,145,5000,19
24,honda civic cvcc,gas,std,two,hatchback,fwd,front,86.6,50.8,ohc,four,1bbl,76,6000,31
25,honda civic,gas,std,two,hatchback,fwd,front,93.7,52.6,ohc,four,1bbl,60,5500,38
26,honda accord cvcc,gas,std,two,hatchback,fwd,front,93.7,52.6,ohc,four,1bbl,76,6000,30
27,honda civic cvcc,gas,std,two,hatchback,fwd,front,93.7,52.6,ohc,four,1bbl,76,6000,30
28,honda accord lx,gas,std,four,sedan,fwd,front,96.5,54.5,ohc,four,1bbl,76,6000,30
29,honda civic 1500 gl,gas,std,four,wagon,fwd,front,96.5,58.3,ohc,four,1bbl,76,6000,30
30,honda accord,gas,std,two,hatchback,fwd,front,96.5,53.3,ohc,four,1bbl,86,5800,27
31,honda civic 1300,gas,std,two,hatchback,fwd,front,96.5,53.3,ohc,four,1bbl,86,5800,27
32,honda prelude,gas,std,four,sedan,fwd,front,96.5,54.1,ohc,four,1bbl,86,5800,27
33,honda accord,gas,std,four,sedan,fwd,front,96.5,54.1,ohc,four,1bbl,86,5800,27
34,honda civic,gas,std,four,sedan,fwd,front,96.5,54.1,ohc,four,mpfi,101,5800,24
35,honda civic auto,gas,std,two,sedan,fwd,front,96.5,51.0,ohc,four,2bbl,100,5500,25
36,isuzu MU-X,gas,std,four,sedan,rwd,front,94.3,53.5,ohc,four,2bbl,78,4800,24
37,isuzu D-Max,gas,std,two,sedan,fwd,front,94.5,52.0,ohc,four,2bbl,70,5400,38
38,isuzu D-Max V-Cross,gas,std,four,sedan,fwd,front,94.5,52.0,ohc,four,2bbl,70,5400,38
39,isuzu D-Max,gas,std,two,hatchback,rwd,front,96.0,51.4,ohc,four,spfi,90,5000,24
40,mazda rx3,gas,std,two,hatchback,fwd,front,93.1,54.1,ohc,four,2bbl,68,5000,30
41,mazda glc deluxe,gas,std,two,hatchback,fwd,front,93.1,54.1,ohc,four,2bbl,68,5000,31
42,mazda rx2 coupe,gas,std,two,hatchback,fwd,front,93.1,54.1,ohc,four,2bbl,68,5000,31
43,mazda rx-4,gas,std,four,sedan,fwd,front,93.1,54.1,ohc,four,2bbl,68,5000,31
44,mazda glc deluxe,gas,std,four,sedan,fwd,front,93.1,54.1,ohc,four,2bbl,68,5000,31
45,mazda 626,gas,std,two,hatchback,rwd,front,95.3,49.6,rotor,two,4bbl,101,6000,17
46,mazda glc,gas,std,two,hatchback,rwd,front,95.3,49.6,rotor,two,4bbl,101,6000,17
47,mazda rx-7 gs,gas,std,two,hatchback,rwd,front,95.3,49.6,rotor,two,4bbl,101,6000,17
48,mazda glc 4,gas,std,two,hatchback,rwd,front,95.3,49.6,rotor,two,mpfi,135,6000,16
49,mazda 626,gas,std,two,hatchback,fwd,front,98.8,53.7,ohc,four,2bbl,84,4800,26
50,mazda glc custom l,gas,std,four,sedan,fwd,front,98.8,55.5,ohc,four,2bbl,84,4800,26
51,mazda glc custom,gas,std,two,hatchback,fwd,front,98.8,53.7,ohc,four,2bbl,84,4800,26
52,mazda rx-4,gas,std,four,sedan,fwd,front,98.8,55.5,ohc,four,2bbl,84,4800,26
53,mazda glc deluxe,diesel,std,four,sedan,fwd,front,98.8,55.5,ohc,four,idi,64,4650,36
54,mazda 626,gas,std,four,hatchback,fwd,front,98.8,55.5,ohc,four,2bbl,84,4800,26
55,mazda glc,gas,std,four,sedan,rwd,front,104.9,54.4,ohc,four,mpfi,120,5000,19
56,mazda rx-7 gs,diesel,std,four,sedan,rwd,front,104.9,54.4,ohc,four,idi,72,4200,31
57,buick electra 225 custom,diesel,turbo,four,sedan,rwd,front,110.0,56.5,ohc,five,idi,123,4350,22
58,buick century luxus,diesel,turbo,four,wagon,rwd,front,110.0,58.7,ohc,five,idi,123,4350,22
59,buick century,diesel,turbo,two,hardtop,rwd,front,106.7,54.9,ohc,five,idi,123,4350,22
60,mercury cougar,gas,turbo,two,hatchback,rwd,front,102.7,54.8,ohc,four,mpfi,175,5000,19
61,mitsubishi mirage,gas,std,two,hatchback,fwd,front,93.7,50.8,ohc,four,2bbl,68,5500,37
62,mitsubishi lancer,gas,std,two,hatchback,fwd,front,93.7,50.8,ohc,four,2bbl,68,5500,31
63,mitsubishi outlander,gas,std,two,hatchback,fwd,front,93.7,50.8,ohc,four,2bbl,68,5500,31
64,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,93.0,50.8,ohc,four,spdi,102,5500,24
65,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,96.3,49.4,ohc,four,spdi,116,5500,23
66,mitsubishi g4,gas,std,two,hatchback,fwd,front,96.3,49.4,ohc,four,2bbl,88,5000,25
67,mitsubishi outlander,gas,turbo,two,hatchback,fwd,front,95.9,50.2,ohc,four,spdi,145,5000,19
68,mitsubishi g4,gas,turbo,two,hatchback,fwd,front,95.9,50.2,ohc,four,spdi,145,5000,19
69,mitsubishi mirage g4,gas,turbo,two,hatchback,fwd,front,95.9,50.2,ohc,four,spdi,145,5000,19
70,mitsubishi montero,gas,std,four,sedan,fwd,front,96.3,51.6,ohc,four,2bbl,88,5000,25
71,mitsubishi pajero,gas,std,four,sedan,fwd,front,96.3,51.6,ohc,four,2bbl,88,5000,25
72,mitsubishi outlander,gas,turbo,four,sedan,fwd,front,96.3,51.6,ohc,four,spdi,116,5500,23
73,mitsubishi mirage g4,gas,std,four,sedan,fwd,front,96.3,51.6,ohc,four,spdi,116,5500,23
74,nissan versa,gas,std,two,sedan,fwd,front,94.5,54.5,ohc,four,2bbl,69,5200,31
75,nissan rogue,gas,std,two,sedan,fwd,front,94.5,54.5,ohc,four,2bbl,69,5200,31
76,nissan latio,gas,std,four,sedan,fwd,front,94.5,54.5,ohc,four,2bbl,69,5200,31
77,nissan titan,gas,std,four,wagon,fwd,front,94.5,53.5,ohc,four,2bbl,69,5200,31
78,nissan leaf,gas,std,two,sedan,fwd,front,94.5,54.5,ohc,four,2bbl,69,5200,31
79,nissan juke,gas,std,two,hatchback,fwd,front,94.5,53.3,ohc,four,2bbl,69,5200,31
80,nissan latio,gas,std,four,sedan,fwd,front,94.5,54.5,ohc,four,2bbl,69,5200,31
81,nissan note,gas,std,four,wagon,fwd,front,94.5,53.5,ohc,four,2bbl,69,5200,31
82,nissan clipper,gas,std,two,hardtop,fwd,front,95.1,53.3,ohc,four,2bbl,69,5200,31
83,nissan rogue,gas,std,four,hatchback,fwd,front,97.2,54.7,ohc,four,2bbl,97,5200,27
84,nissan nv200,gas,std,four,sedan,fwd,front,97.2,54.7,ohc,four,2bbl,97,5200,27
85,nissan dayz,gas,std,four,sedan,fwd,front,100.4,55.1,ohcv,six,mpfi,152,5200,17
86,nissan fuga,gas,std,four,wagon,fwd,front,100.4,56.1,ohcv,six,mpfi,152,5200,17
87,nissan otti,gas,std,four,sedan,fwd,front,100.4,55.1,ohcv,six,mpfi,152,5200,19
88,nissan teana,gas,std,two,hatchback,rwd,front,91.3,49.7,ohcv,six,mpfi,160,5200,19
89,nissan clipper,gas,std,two,hatchback,rwd,front,99.2,49.7,ohcv,six,mpfi,160,5200,19
90,peugeot 504,gas,std,four,sedan,rwd,front,107.9,56.7,l,four,mpfi,97,5000,19
91,peugeot 304,diesel,turbo,four,sedan,rwd,front,107.9,56.7,l,four,idi,95,4150,28
92,peugeot 504,gas,std,four,wagon,rwd,front,114.2,58.7,l,four,mpfi,97,5000,19
93,peugeot 504,diesel,turbo,four,wagon,rwd,front,114.2,58.7,l,four,idi,95,4150,25
94,peugeot 504,gas,std,four,sedan,rwd,front,107.9,56.7,l,four,mpfi,95,5000,19
95,peugeot 604sl,diesel,turbo,four,sedan,rwd,front,107.9,56.7,l,four,idi,95,4150,28
96,peugeot 504,gas,std,four,wagon,rwd,front,114.2,56.7,l,four,mpfi,95,5000,19
97,peugeot 505s turbo diesel,diesel,turbo,four,wagon,rwd,front,114.2,58.7,l,four,idi,95,4150,25
98,peugeot 504,gas,std,four,sedan,rwd,front,107.9,56.7,l,four,mpfi,97,5000,19
99,peugeot 504,diesel,turbo,four,sedan,rwd,front,107.9,56.7,l,four,idi,95,4150,28
100,peugeot 604sl,gas,turbo,four,sedan,rwd,front,108.0,56.0,l,four,mpfi,142,5600,18
